Map,Play %,Attacker Win %,Attacker KDA,Defender Win %,Defender KDA
Abyss,11.64%,50.94%,1.29,49.06%,1.35
Ascent,11.40%,47.39%,1.24,52.61%,1.45
Bind,11.43%,48.21%,1.25,51.79%,1.41
Breeze,4.85%,51.58%,1.26,48.42%,1.32
Fracture,4.92%,51.38%,1.31,48.62%,1.34
Haven,11.60%,50.18%,1.28,49.82%,1.37
Icebox,11.45%,50.16%,1.27,49.84%,1.34
Lotus,11.39%,52.14%,1.33,47.86%,1.33
Pearl,4.97%,51.28%,1.31,48.72%,1.34
Split,4.88%,50.49%,1.30,49.51%,1.35
Sunset,11.46%,49.43%,1.28,50.57%,1.39
