Map,Play %,Attacker Win %,Attacker KDA,Defender Win %,Defender KDA
Abyss,12.60%,49.44%,1.31,50.86%,1.43
Ascent,12.46%,45.66%,1.26,54.48%,1.56
Bind,12.47%,46.93%,1.28,53.27%,1.50
Breeze,3.11%,52.18%,1.59,51.10%,1.65
Fracture,3.17%,51.72%,1.61,51.07%,1.68
Haven,12.58%,48.87%,1.31,51.27%,1.44
Icebox,12.42%,48.48%,1.26,51.68%,1.41
Lotus,12.39%,51.14%,1.37,49.16%,1.40
Pearl,3.20%,50.52%,1.58,51.94%,1.70
Split,3.12%,49.49%,1.57,53.15%,1.75
Sunset,12.47%,48.72%,1.32,51.49%,1.45
